id,url,owner_id,name,descriptor,language,created_at,forked_from,deleted,updated_at
20908411,https://api.github.com/repos/Arpit007/corefx,8365026,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2015-06-05 06:27:47,13378441,0,2016-02-06 14:17:40
20920584,https://api.github.com/repos/sri-prasanna/corefx,586654,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2015-06-05 12:52:36,13378441,0,2016-03-04 09:47:23
20925309,https://api.github.com/repos/chakrabar/corefx,4745295,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2015-06-05 15:02:39,13378441,0,2016-02-10 05:33:40
20928591,https://api.github.com/repos/sherwinky/corefx,6754001,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2015-06-05 16:39:13,13378441,0,2016-03-03 20:49:33
20964199,https://api.github.com/repos/awaisameer65/corefx,8379314,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2015-06-06 18:02:26,13378441,0,2016-02-07 06:11:44
20987056,https://api.github.com/repos/Heyvaert/corefx,7234903,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2015-06-07 13:57:36,13378441,0,2016-02-19 00:22:45
21052288,https://api.github.com/repos/dattathreya/corefx,8401146,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2015-06-09 03:23:33,13378441,0,2016-02-12 19:19:10
21064018,https://api.github.com/repos/namila/corefx,3769597,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2015-06-09 08:27:29,13378441,0,2016-02-29 10:23:15
21072157,https://api.github.com/repos/Muchiachio/corefx,3405936,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2015-06-09 15:46:05,13378441,1,1970-01-01 01:00:01
21091604,https://api.github.com/repos/yy1987/corefx,3822425,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2015-06-10 03:43:40,13378441,0,2016-03-07 02:33:34
21106117,https://api.github.com/repos/fo40225/corefx,6493840,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2015-06-10 08:11:04,13378441,1,1970-01-01 01:00:01
21111707,https://api.github.com/repos/ggaltqq/corefx,4439569,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2015-06-10 11:16:08,13378441,1,1970-01-01 01:00:01
21118243,https://api.github.com/repos/techpro79/corefx,8303815,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2015-06-10 16:22:15,13378441,0,2016-03-04 23:43:25
21163587,https://api.github.com/repos/nettan20/corefx,8420388,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2015-06-11 15:41:11,13378441,0,2016-02-05 20:03:35
21205040,https://api.github.com/repos/zubivan/corefx,3174775,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2015-06-12 14:49:08,13378441,0,2016-03-07 08:45:42
21211143,https://api.github.com/repos/josteink/corefx,1055703,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2015-06-12 17:47:22,13378441,0,2016-02-23 06:35:20
21223126,https://api.github.com/repos/diwer/corefx,2168067,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2015-06-13 01:55:39,13378441,0,2016-02-13 22:36:00
21234720,https://api.github.com/repos/yasirliu/corefx,4607581,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2015-06-13 11:51:10,13378441,0,2016-03-06 21:33:36
21235055,https://api.github.com/repos/macressler/corefx,8336,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2015-06-13 12:06:53,13378441,0,2016-02-26 18:30:15
21262064,https://api.github.com/repos/ajensenwaud/corefx,2849245,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2015-06-14 09:54:43,13378441,0,2016-02-04 10:14:33
21269806,https://api.github.com/repos/poonamkalra/corefx,8457587,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2015-06-14 15:09:24,13378441,0,2016-03-02 04:11:17
21301410,https://api.github.com/repos/tourbillon1994/corefx,7993370,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2015-06-15 11:25:18,13378441,0,2016-03-05 12:36:29
21316279,https://api.github.com/repos/ssg/corefx,395264,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2015-03-11 13:09:24,13378441,0,2016-03-04 10:22:21
21321652,https://api.github.com/repos/chuckbeasley/corefx,2270106,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2015-06-15 20:27:10,13378441,0,2016-02-10 19:35:09
21324886,https://api.github.com/repos/lgolding/corefx,8070788,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2015-06-15 20:11:58,13378441,1,1970-01-01 01:00:01
21325145,https://api.github.com/repos/babumuralidharan/corefx,493115,corefx,This repository contains the foundational libraries that make up the .NET Core development stack.,C#,2015-06-15 22:21:07,14348144,0,2016-02-07 10:30:10
21363858,https://api.github.com/repos/maxraab/corefx,8006002,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2015-06-16 17:00:17,13378441,1,1970-01-01 01:00:01
21367355,https://api.github.com/repos/mamun-tanveer/corefx,8489175,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2015-06-16 20:45:37,13378441,0,2016-02-26 23:16:08
21375637,https://api.github.com/repos/lcobalt/corefx,8491710,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2015-06-16 23:14:54,13378441,1,1970-01-01 01:00:01
21384686,https://api.github.com/repos/vicancy/corefx,1172429,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2015-11-04 12:59:36,13378441,1,2015-11-05 09:21:22
21406307,https://api.github.com/repos/MarkusSintonen/corefx,8499967,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2015-06-17 17:11:07,13378441,0,2016-02-27 06:05:16
21415433,https://api.github.com/repos/ericfe-ms/corefx,8503125,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2015-06-17 22:16:05,15762480,0,2016-02-15 16:06:24
42224310,https://api.github.com/repos/alekseysukharev/corefx,5411498,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2016-07-28 07:44:28,13378441,0,1970-01-02 00:00:00
42225564,https://api.github.com/repos/im1477/corefx,26854174,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2016-07-28 08:19:46,13378441,0,1970-01-02 00:00:00
42233996,https://api.github.com/repos/waqashaneef/corefx,472629,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2016-07-28 12:40:58,13378441,0,1970-01-02 00:00:00
42243245,https://api.github.com/repos/cjlpowers/corefx,2114205,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2016-07-28 17:26:00,13378441,0,1970-01-02 00:00:00
42243416,https://api.github.com/repos/dgurich/corefx,250859,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2016-07-28 17:30:59,13378441,0,1970-01-02 00:00:00
42255181,https://api.github.com/repos/kroniak/corefx,653297,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2016-07-29 01:40:32,13378441,0,1970-01-02 00:00:00
42256666,https://api.github.com/repos/DavidYamer/corefx,20521144,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2016-07-29 02:19:46,13378441,0,1970-01-02 00:00:00
42256739,https://api.github.com/repos/wangrui523/corefx,11395231,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2016-07-29 02:22:30,13378441,0,1970-01-02 00:00:00
42276249,https://api.github.com/repos/liujinmu/corefx,7170827,corefx,"This repo contains the .NET Core foundational libraries, called CoreFX. It includes classes for collections, file systems, console, XML, async and many others.",C#,2016-07-29 12:40:19,13378441,0,1970-01-02 00:00:00
