ReviewText,Sentiment
Waitress was sweet and funny.,1
"I also had to taste my Mom's multi-grain pumpkin pancakes with pecan butter and they were amazing, fluffy, and delicious!",1
"I'd rather eat airline food, seriously.",0
Cant say enough good things about this place.,1
The ambiance was incredible.,1
The waitress and manager are so friendly.,1
I would not recommend this place.,0
Overall I wasn't very impressed with Noca.,0
My gyro was basically lettuce only.,0
Terrible service!,0
Thoroughly disappointed!,0
"I don't each much pasta, but I love the homemade /hand made pastas and thin pizzas here.",1
"Give it a try, you will be happy you did.",1
By far the BEST cheesecurds we have ever had!,1
Reasonably priced also!,1
Everything was perfect the night we were in.,1
The food is very good for your typical bar food.,1
it was a drive to get there.,0
"At first glance it is a lovely bakery cafe - nice ambiance, clean, friendly staff.",1
"Anyway, I do not think i will go back there.",0
"Point your finger at any item on the menu, order it and you won't be disappointed.",1
"Oh this is such a thing of beauty, this restaurant.",1
If you haven't gone here GO NOW!,1
"A greasy, unhealthy meal.",0
first time there and might just be the last.,0
Those burgers were amazing.,1
"Similarly, the delivery man did not say a word of apology when our food was 45 minutes late.",0
And it was way to expensive.,0
"Be sure to order dessert, even if you need to pack it to-go - the tiramisu and cannoli are both to die for.",1
This was my first time and I can't wait until the next.,1
The bartender was also nice.,1
Everything was good and tasty!,1
This place is two thumbs up....way up.,1
"The best place in Vegas for breakfast (just check out a Sat, or Sun.",1
"If you love authentic Mexican food and want a whole bunch of interesting, yet delicious meats to choose from, you need to try this place.",1
Terrible management.,0
An excellent new restaurant by an experienced Frenchman.,1
If there were zero stars I would give it zero stars.,0
"Great steak, great sides, great wine, amazing desserts.",1
Worst martini ever!,0
The steak and the shrimp are in my opinion the best entrees at GC.,1
I had the opportunity today to sample your amazing pizzas!,1
We waited for thirty minutes to be seated (although there were 8 vacant tables and we were the only folks waiting).,0
The yellowtail carpaccio was melt in your mouth fresh.,1
I won't try going back there even if it's empty.,0
"No, I'm going to eat the potato that I found some strangers hair in it.",0
Just spicy enough.. Perfect actually.,1
Last night was my second time dining here and I was so happy I decided to go back!,1
"not even a ""hello, we will be right with you.""",0
The desserts were a bit strange.,0
My boyfriend and I came here for the first time on a recent trip to Vegas and could not have been more pleased with the quality of food and service.,1
"I really do recommend this place, you can go wrong with this donut place!",1
Nice ambiance.,1
I would recommend saving room for this!,1
I guess maybe we went on an off night but it was disgraceful.,0
"However, my recent experience at this particular location was not so good.",0
"I know this is not like the other restaurants at all, something is very off here!",0
AVOID THIS ESTABLISHMENT!,0
I think this restaurant suffers from not trying hard enough.,0
All of the tapas dishes were delicious!,1
I *heart* this place.,1
My salad had a bland vinegrette on the baby greens and hearts of Palm.,0
After two I felt disgusting.,0
A good time!,1
I believe that this place is a great stop for those with a huge belly and hankering for sushi.,1
Generous portions and great taste.,1
I will never go back to this place and will never ever recommended this place to anyone!,0
"The servers went back and forth several times, not even so much as an ""Are you being helped?""",0
Food was delicious!,1
AN HOUR... seriously?,0
I consider this theft.,0
Eew... This location needs a complete overhaul.,0
We recently witnessed her poor quality of management towards other guests as well.,0
Waited and waited and waited.,0
"He also came back to check on us regularly, excellent service.",1
Our server was super nice and checked on us many times.,1
"The pizza tasted old, super chewy in not a good way.",0
I swung in to give them a try but was deeply disappointed.,0
Service was good and the company was better!,1
The staff are also very friendly and efficient.,1
"As for the service: I'm a fan, because it's quick and you're being served by some nice folks.",1
Boy was that sucker dry!!.,0
Over rated.,0
"If you look for authentic Thai food, go else where.",0
Their steaks are 100% recommended!,1
After I pulled up my car I waited for another 15 minutes before being acknowledged.,0
Great food and great service in a clean and friendly setting.,1
"All in all, I can assure you I'll be back.",1
I hate those things as much as cheap quality black olives.,0
"My breakfast was perpared great, with a beautiful presentation of 3 giant slices of Toast, lightly dusted with powdered sugar.",1
The kids play area is NASTY!,0
Great place fo take out or eat in.,1
The waitress was friendly and happy to accomodate for vegan/veggie options.,1
OMG I felt like I had never eaten Thai food until this dish.,1
"It was extremely ""crumby"" and pretty tasteless.",0
It was a pale color instead of nice and char and has NO flavor.,0
The croutons also taste homemade which is an extra plus.,1
I got home to see the driest damn wings ever!,0
It'll be a regular stop on my trips to Phoenix!,1
I really enjoyed Crema Café before they expanded; I even told friends they had the BEST breakfast.,1
Not good for the money.,0
I miss it and wish they had one in Philadelphia!,1
"We got sitting fairly fast, but, ended up waiting 40 minutes just to place our order, another 30 minutes before the food arrived.",0
They also have the best cheese crisp in town.,1
"Good value, great food, great service.",1
Couldn't ask for a more satisfying meal.,1
The food is good.,1
It was awesome.,1
I just wanted to leave.,0
We made the drive all the way from North Scottsdale... and I was not one bit disappointed!,1
I will not be eating there again.,0
!....THE OWNERS REALLY REALLY need to quit being soooooo cheap let them wrap my freaking sandwich in two papers not one!,0
I checked out this place a couple years ago and was not impressed.,0
"The chicken I got was definitely reheated and was only ok, the wedges were cold and soggy.",0
"Sorry, I will not be getting food from here anytime soon :(",0
An absolute must visit!,1
The cow tongue and cheek tacos are amazing.,1
My friend did not like his Bloody Mary.,0
"Despite how hard I rate businesses, its actually rare for me to give a 1 star.",0
They really want to make your experience a good one.,1
I will not return.,0
I had the chicken Pho and it tasted very bland.,0
Very disappointing!!!,0
The grilled chicken was so tender and yellow from the saffron seasoning.,1
"a drive thru means you do not want to wait around for half an hour for your food, but somehow when we end up going here they make us wait and wait.",0
Pretty awesome place.,1
Ambience is perfect.,1
Best of luck to the rude and non-customer service focused new management.,0
Any grandmother can make a roasted chicken better than this one.,0
I asked multiple times for the wine list and after some time of being ignored I went to the hostess and got one myself.,0
"The staff is always super friendly and helpful, which is especially cool when you bring two small boys and a baby!",1
Four stars for the food & the guy in the blue shirt for his great vibe & still letting us in to eat !,1
The roast beef sandwich tasted really good!,1
"Same evening, him and I are both drastically sick.",0
High-quality chicken on the chicken Caesar salad.,1
Ordered burger rare came in we'll done.,0
We were promptly greeted and seated.,1
Tried to go here for lunch and it was a madhouse.,0
"I was proven dead wrong by this sushi bar, not only because the quality is great, but the service is fast and the food, impeccable.",1
"After waiting an hour and being seated, I was not in the greatest of moods.",0
This is a good joint.,1
The Macarons here are insanely good.,1
I'm not eating here!,0
"Our waiter was very attentive, friendly, and informative.",1
Maybe if they weren't cold they would have been somewhat edible.,0
This place has a lot of promise but fails to deliver.,0
Very bad Experience!,0
What a mistake.,0
Food was average at best.,0
Great food.,1
We won't be going back anytime soon!,0
Very Very Disappointed ordered the $35 Big Bay Plater.,0
Great place to relax and have an awesome burger and beer.,1
It is PERFECT for a sit-down family meal or get together with a few friends.,1
"Not much flavor to them, and very poorly constructed.",0
The patio seating was very comfortable.,1
The fried rice was dry as well.,0
Hands down my favorite Italian restaurant!,1
"That just SCREAMS ""LEGIT"" in my book...somethat's also pretty rare here in Vegas.",1
It was just not a fun experience.,1
The atmosphere was great with a lovely duo of violinists playing songs we requested.,1
